id;alternative_id;criteria_id;value;created_at;updated_at
1;1;1;5;03-06-2023  19:00:30;03-06-2023  19:00:30
2;1;2;10;03-06-2023  19:00:30;03-06-2023  19:00:30
3;1;3;15;03-06-2023  19:00:30;03-06-2023  19:00:30
4;1;4;6;03-06-2023  19:00:30;03-06-2023  19:00:30
5;1;5;9;03-06-2023  19:00:30;03-06-2023  19:00:30
6;1;6;50000;03-06-2023  19:00:30;03-06-2023  19:00:30
7;2;1;5;03-06-2023  19:00:30;03-06-2023  19:00:30
8;2;2;10;03-06-2023  19:00:30;03-06-2023  19:00:30
9;2;3;15;03-06-2023  19:00:30;03-06-2023  19:00:30
10;2;4;8;03-06-2023  19:00:30;03-06-2023  19:00:30
11;2;5;9;03-06-2023  19:00:30;03-06-2023  19:00:30
12;2;6;50000;03-06-2023  19:00:30;03-06-2023  19:00:30
13;3;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
14;3;2;10;03-06-2023  19:00:30;03-06-2023  19:00:30
15;3;3;15;03-06-2023  19:00:30;03-06-2023  19:00:30
16;3;4;6;03-06-2023  19:00:30;03-06-2023  19:00:30
17;3;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
18;3;6;300000;03-06-2023  19:00:30;03-06-2023  19:00:30
19;4;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
20;4;2;10;03-06-2023  19:00:30;03-06-2023  19:00:30
21;4;3;15;03-06-2023  19:00:30;03-06-2023  19:00:30
22;4;4;6;03-06-2023  19:00:30;03-06-2023  19:00:30
23;4;5;9;03-06-2023  19:00:30;03-06-2023  19:00:30
24;4;6;200000;03-06-2023  19:00:30;03-06-2023  19:00:30
25;5;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
26;5;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
27;5;3;15;03-06-2023  19:00:30;03-06-2023  19:00:30
28;5;4;6;03-06-2023  19:00:30;03-06-2023  19:00:30
29;5;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
30;5;6;200000;03-06-2023  19:00:30;03-06-2023  19:00:30
31;6;1;3;03-06-2023  19:00:30;03-06-2023  19:00:30
32;6;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
33;6;3;12;03-06-2023  19:00:30;03-06-2023  19:00:30
34;6;4;6;03-06-2023  19:00:30;03-06-2023  19:00:30
35;6;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
36;6;6;200000;03-06-2023  19:00:30;03-06-2023  19:00:30
37;7;1;3;03-06-2023  19:00:30;03-06-2023  19:00:30
38;7;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
39;7;3;12;03-06-2023  19:00:30;03-06-2023  19:00:30
40;7;4;6;03-06-2023  19:00:30;03-06-2023  19:00:30
41;7;5;7;03-06-2023  19:00:30;03-06-2023  19:00:30
42;7;6;100000;03-06-2023  19:00:30;03-06-2023  19:00:30
43;8;1;3;03-06-2023  19:00:30;03-06-2023  19:00:30
44;8;2;5;03-06-2023  19:00:30;03-06-2023  19:00:30
45;8;3;3;03-06-2023  19:00:30;03-06-2023  19:00:30
46;8;4;4;03-06-2023  19:00:30;03-06-2023  19:00:30
47;8;5;5;03-06-2023  19:00:30;03-06-2023  19:00:30
48;8;6;200000;03-06-2023  19:00:30;03-06-2023  19:00:30
49;9;1;4;03-06-2023  19:00:30;03-06-2023  19:00:30
